Treatment,year,fuel_type,carbon,std,order,proportion,totalcarbon
un,2019,FWD,4.61778191,0.630888668,d,0.013629125,338.8171986
un,2019,Litter,2.65698437,0.303907208,f,0.007841941,338.8171986
un,2019,Live,195.486074,42.39321501,a,0.576966207,338.8171986
un,2019,Shrub,0.006760244,0,e,2.00E-05,338.8171986
us,2004,CWD,17.59605333,3.375089472,c,0.094709157,185.7904115
us,2004,Dead,41.90912748,12.71807315,b,0.225572069,185.7904115
us,2004,FWD,8.360709333,0.307552345,d,0.045000758,185.7904115
us,2004,Litter,9.6,0.288675135,f,0.051671127,185.7904115
us,2004,Live,108.3071282,16.67124744,a,0.582953272,185.7904115
us,2004,Shrub,0.017393111,0,e,9.36E-05,185.7904115
us,2011,CWD,20.57207989,12.84898491,c,0.117282994,175.40548
us,2011,Dead,31.40201002,11.94817448,b,0.179025251,175.40548
us,2011,FWD,4.3390328,0.475960128,d,0.024737156,175.40548
us,2011,Litter,1.443921536,0.282211675,f,0.008231907,175.40548
us,2011,Live,117.5974806,10.81081724,a,0.670432193,175.40548
us,2011,Shrub,0.050955165,0,e,0.000290499,175.40548
us,2018,CWD,29.8730147,15.99559664,c,0.162703951,183.6034988
us,2018,Dead,45.93843014,3.941907205,b,0.250204546,183.6034988
us,2018,FWD,4.398029813,0.866375984,d,0.023953954,183.6034988
us,2018,Litter,1.30630822,0.066111288,f,0.007114833,183.6034988
us,2018,Live,102.0203047,17.68030493,a,0.555655559,183.6034988
us,2018,Shrub,0.067411254,0,e,0.000367157,183.6034988
us,2019,CWD,30.47764242,18.91030826,c,0.163525877,186.378101
us,2019,Dead,45.93843014,3.941907205,b,0.246479763,186.378101
us,2019,FWD,5.150545591,0.433522173,d,0.027634929,186.378101
us,2019,Litter,2.773504736,0.786145808,f,0.014881066,186.378101
us,2019,Live,102.0203047,17.68030493,a,0.54738354,186.378101
us,2019,Shrub,0.017673366,0,e,9.48E-05,186.378101
