Plot,DBH_11,DC_2011,Status_2011,DBH_17,Status_2017,DC_2017,Treatment,Treatment_Title,count,DDD,Growing.Space
un2,46.6,,1,48.5,2,2,un,Control,1,1,12.51
un2,11.4,,1,11.2,2,2,un,Control,1,1,5.391
un2,54,,1,55.2,1,,un,Control,1,0,6.584
un2,26.3,,1,29.1,1,,un,Control,1,0,10.601
un2,29.2,,1,30.6,1,,un,Control,1,0,38.365
un2,5.3,,1,6.3,2,1,un,Control,1,1,36.935
un2,10,,1,10.3,2,2,un,Control,1,1,1.563
un2,45,,1,45.3,2,4,un,Control,1,1,2.579
un2,32.2,,1,34.1,1,,un,Control,1,0,10.975
un2,69.3,,1,70.5,1,,un,Control,1,0,94.577
un2,51.3,,1,52.8,1,,un,Control,1,0,89.37
un2,30.5,,1,30.5,2,3,un,Control,1,1,9.006
un2,18,,1,15,2,3,un,Control,1,1,2.387
un2,12.5,,1,13.2,1,,un,Control,1,0,15.733
un2,16.2,,1,16.7,2,2,un,Control,1,1,2.645
un2,9.6,,1,9.9,2,1,un,Control,1,1,36.498
un2,178.5,,1,180.2,2,2,un,Control,1,1,6.119
un2,22.2,,1,24.8,1,,un,Control,1,0,14.943
un2,8.5,,1,8.9,1,,un,Control,1,0,28.575
un2,75.9,,1,76.9,2,2,un,Control,1,1,13.523
un2,36.7,,1,37.4,2,2,un,Control,1,1,9.23
un2,35.8,,1,36.6,2,3,un,Control,1,1,3.581
un2,11.1,,1,12.7,2,1,un,Control,1,1,2.016
un2,13.3,,1,13.5,2,2,un,Control,1,1,1.682
un2,15.2,,1,16.9,2,2,un,Control,1,1,10.827
un2,53.4,,1,49.5,2,2,un,Control,1,1,3.277
un2,22.6,,1,23.3,1,,un,Control,1,0,3.633
un2,44,,1,45.2,2,2,un,Control,1,1,7.925
un2,10.8,,1,15.9,1,,un,Control,1,0,31.07
un2,69.7,,1,57.4,1,,un,Control,1,0,136.985
un2,9.2,,1,9.7,1,,un,Control,1,0,13.768
un2,15.3,,1,15.7,2,2,un,Control,1,1,10.103
un2,69,,1,68.9,2,1,un,Control,1,1,63.612
un2,14.6,,1,14.7,2,2,un,Control,1,1,3.223
un2,35.9,,1,36.1,2,2,un,Control,1,1,5.347
un2,14.8,,1,15.8,1,,un,Control,1,0,7.465
un2,22.8,,1,24.2,1,,un,Control,1,0,4.773
un2,67.3,,1,68.8,1,,un,Control,1,0,6.937
un2,49,,1,51.7,1,,un,Control,1,0,37.919
un2,36.2,,1,36.9,2,2,un,Control,1,1,1.156
un2,15.7,,1,18.6,1,,un,Control,1,0,15.627
un2,31.4,,1,31.9,2,2,un,Control,1,1,3.969
un2,54,,1,55,2,3,un,Control,1,1,3.925
un2,41,,1,42.3,2,2,un,Control,1,1,12.391
un2,64.9,,1,65.6,2,2,un,Control,1,1,8.63
un2,43.7,,1,44.9,2,2,un,Control,1,1,8.105
un2,24.5,,1,25.3,2,1,un,Control,1,1,6.244
un2,18.8,,1,19.8,1,,un,Control,1,0,6.626
un2,21.2,,1,22,2,1,un,Control,1,1,1.202
un2,33.7,,1,37.2,1,,un,Control,1,0,123.542
un2,16.2,,1,14.3,2,3,un,Control,1,1,2.407
un2,14.8,,1,16.9,1,,un,Control,1,0,14.845
un2,15.8,,1,15.8,2,2,un,Control,1,1,2.977
un2,32.5,,1,31.5,2,1,un,Control,1,1,7.361
un2,41,,1,42.9,1,,un,Control,1,0,3.871
un2,51,,1,53.1,1,,un,Control,1,0,11.614
un2,28.3,,1,28.4,2,2,un,Control,1,1,4.276
un2,24.3,,1,24.5,2,1,un,Control,1,1,7.542
un2,16.9,,1,17.3,2,2,un,Control,1,1,4.568
un2,37.8,,1,40.2,1,,un,Control,1,0,1.512
un2,14.7,,1,15.1,2,3,un,Control,1,1,6.04
un2,6.8,,1,9.1,1,,un,Control,1,0,15.266
un2,39.1,,1,40.5,2,2,un,Control,1,1,2.108
un2,40.4,,1,43.9,1,,un,Control,1,0,33.697
un2,19.3,,1,19.5,2,3,un,Control,1,1,5.694
un2,30.7,,1,31.2,2,2,un,Control,1,1,2.636
un2,11.8,,1,10.9,2,3,un,Control,1,1,3.922
un2,12.5,,1,14,1,,un,Control,1,0,22.767
un2,45.2,,1,47.8,1,,un,Control,1,0,32.444
un2,57.6,,1,60.4,1,,un,Control,1,0,2.375
un2,40.3,,1,41.6,2,3,un,Control,1,1,5.107
un2,32.4,,1,33.1,2,2,un,Control,1,1,4.569
