Plot,DBH_Pre,Status,Decay.Class,year,decay_post,consumed,Burn
bc2,8,2,2,2002,2,0,First Burn
bc2,13,2,2,2002,2,0,First Burn
bc2,13,2,2,2002,2,0,First Burn
bc2,12,2,2,2002,2,0,First Burn
bc2,11,2,2,2002,2,0,First Burn
bc2,13,2,2,2002,2,0,First Burn
bc2,7,2,2,2002,2,0,First Burn
bc2,16,2,2,2002,2,0,First Burn
bc2,29,2,2,2002,2,0,First Burn
bc2,6,2,2,2002,2,0,First Burn
bc2,22,2,2,2002,2,0,First Burn
bc2,10,2,2,2002,2,0,First Burn
bc2,12,2,2,2002,2,0,First Burn
bc2,11,2,2,2002,2,0,First Burn
bc2,16,2,2,2002,2,0,First Burn
bc2,9,2,2,2002,2,0,First Burn
bc2,42,2,2,2002,2,0,First Burn
bc3,10,2,2,2002,2,0,First Burn
bc3,13,2,2,2002,2,0,First Burn
bc3,12,2,2,2002,2,0,First Burn
bc3,8,2,2,2002,2,0,First Burn
bc3,8,2,2,2002,2,0,First Burn
bc3,15,2,2,2002,2,0,First Burn
bc3,16,2,2,2002,2,0,First Burn
bc3,11,2,2,2002,2,0,First Burn
bc3,16,2,2,2002,2,0,First Burn
bc3,11,2,2,2002,2,0,First Burn
bc3,24,2,2,2002,2,0,First Burn
bc3,7,2,2,2002,2,0,First Burn
bn1,15,2,2,2002,2,0,First Burn
bn1,13,2,2,2002,2,0,First Burn
bn1,189,2,2,2002,2,0,First Burn
bn1,60,2,2,2002,2,0,First Burn
bn1,10,2,2,2002,2,0,First Burn
bn1,26,2,2,2002,2,0,First Burn
bn1,20,2,2,2002,2,0,First Burn
bn2,12,2,2,2002,2,0,First Burn
bn2,43,2,2,2002,2,0,First Burn
bn2,16,2,2,2002,2,0,First Burn
bn2,42,2,2,2002,2,0,First Burn
bn2,28,2,2,2002,2,0,First Burn
bn2,29,2,2,2002,2,0,First Burn
bn2,13,2,2,2002,2,0,First Burn
bn2,70,2,2,2002,2,0,First Burn
bn2,35,2,2,2002,2,0,First Burn
bn2,72,2,2,2002,2,0,First Burn
bn2,78,2,2,2002,2,0,First Burn
bs1,5.8,2,2,2002,2,0,First Burn
bs1,8.2,2,2,2002,2,0,First Burn
bs2,7.3,2,2,2002,2,0,First Burn
bs2,16.4,2,2,2002,2,0,First Burn
bs3,12,2,2,2002,2,0,First Burn
bs3,32,2,2,2002,2,0,First Burn
bs3,43,2,2,2002,2,0,First Burn
bs3,29,2,2,2002,2,0,First Burn
bs3,18,2,2,2002,2,0,First Burn
bs3,23,2,2,2002,2,0,First Burn
bs3,142,2,2,2002,2,0,First Burn
bs3,21,2,2,2002,2,0,First Burn
bs3,119,2,2,2002,2,0,First Burn
bs3,13,2,2,2002,2,0,First Burn
bc1,65,2,2,2002,2,0,First Burn
bc1,13.8,2,2,2002,2,0,First Burn
bc1,40,2,2,2002,2,0,First Burn
bc1,27,2,2,2002,2,0,First Burn
bc1,63.7,2,2,2002,2,0,First Burn
bc1,35.4,2,2,2002,2,0,First Burn
bc1,33.2,2,2,2002,2,0,First Burn
bc1,62.9,2,2,2002,2,0,First Burn
bc1,132,2,2,2002,2,0,First Burn
bc1,25.4,2,2,2002,2,0,First Burn
bc1,71.1,2,2,2002,2,0,First Burn
bc1,29.5,2,2,2002,2,0,First Burn
bc1,78,2,2,2002,2,0,First Burn
bc1,146.7,2,2,2002,2,0,First Burn
bc1,52.3,2,2,2002,2,0,First Burn
bc1,41.4,2,2,2002,2,0,First Burn
bc1,64.9,2,2,2002,2,0,First Burn
bc1,13.7,2,2,2002,2,0,First Burn
bc1,12.8,2,2,2002,2,0,First Burn
bc1,52.6,2,2,2002,2,0,First Burn
bc1,8.9,2,2,2002,2,0,First Burn
bc1,12.7,2,2,2002,2,0,First Burn
bc1,28.8,2,2,2002,2,0,First Burn
bc1,13.9,2,2,2002,2,0,First Burn
bc1,21.9,2,2,2002,2,0,First Burn
bc1,57.1,2,2,2002,2,0,First Burn
bc1,39.3,2,2,2002,2,0,First Burn
bc1,88.3,2,2,2002,2,0,First Burn
bc1,122,2,2,2002,2,0,First Burn
bc2,101,2,2,2002,2,0,First Burn
bc2,16,2,2,2002,2,0,First Burn
bc2,96,2,2,2002,2,0,First Burn
bc2,41,2,2,2002,2,0,First Burn
bc2,21,2,2,2002,2,0,First Burn
bc2,44,2,2,2002,2,0,First Burn
bc2,18,2,2,2002,2,0,First Burn
bc2,53,2,2,2002,2,0,First Burn
bc2,42,2,2,2002,2,0,First Burn
bc2,100,2,2,2002,2,0,First Burn
bc2,40,2,2,2002,2,0,First Burn
bc2,65,2,2,2002,2,0,First Burn
bc2,19,2,2,2002,2,0,First Burn
bc2,15,2,2,2002,2,0,First Burn
bc2,11,2,2,2002,2,0,First Burn
bc2,38,2,2,2002,2,0,First Burn
bc2,24,2,2,2002,2,0,First Burn
bc2,10,2,2,2002,2,0,First Burn
bc2,11,2,2,2002,2,0,First Burn
bc2,119,2,2,2002,2,0,First Burn
bc2,17,2,2,2002,2,0,First Burn
bc2,31,2,2,2002,2,0,First Burn
bc2,15,2,2,2002,2,0,First Burn
bc2,40,2,2,2002,2,0,First Burn
bc2,33,2,2,2002,2,0,First Burn
bc2,10,2,2,2002,2,0,First Burn
bc2,7,2,2,2002,2,0,First Burn
bc2,28,2,2,2002,2,0,First Burn
bc2,10,2,2,2002,2,0,First Burn
bc2,18,2,2,2002,2,0,First Burn
bc2,21,2,2,2002,2,0,First Burn
bc2,39,2,2,2002,2,0,First Burn
bc2,41,2,2,2002,2,0,First Burn
bc2,58,2,2,2002,2,0,First Burn
bc2,56,2,2,2002,2,0,First Burn
bc2,34,2,2,2002,2,0,First Burn
bc2,37,2,2,2002,2,0,First Burn
bc2,14,2,2,2002,2,0,First Burn
bc2,44,2,2,2002,2,0,First Burn
bc2,34,2,2,2002,2,0,First Burn
bc2,45,2,2,2002,2,0,First Burn
bc2,31,2,2,2002,2,0,First Burn
bc2,13,2,2,2002,2,0,First Burn
bc2,7,2,2,2002,2,0,First Burn
bc2,45,2,2,2002,2,0,First Burn
bc2,22,2,2,2002,2,0,First Burn
bc2,17,2,2,2002,2,0,First Burn
bc2,151,2,2,2002,2,0,First Burn
bc2,102,2,2,2002,2,0,First Burn
bc2,16,2,2,2002,2,0,First Burn
bc2,44,2,2,2002,2,0,First Burn
bc2,9,2,2,2002,2,0,First Burn
bc2,41,2,2,2002,2,0,First Burn
bc2,54,2,2,2002,2,0,First Burn
bc2,79,2,2,2002,2,0,First Burn
bc2,48,2,2,2002,2,0,First Burn
bc2,51,2,2,2002,2,0,First Burn
bc2,86,2,2,2002,2,0,First Burn
bc2,83,2,2,2002,2,0,First Burn
bc2,24,2,2,2002,2,0,First Burn
bc2,47,2,2,2002,2,0,First Burn
bc2,51,2,2,2002,2,0,First Burn
bc2,86,2,2,2002,2,0,First Burn
bc3,99,2,2,2002,2,0,First Burn
bc3,57,2,2,2002,2,0,First Burn
bc3,8,2,2,2002,2,0,First Burn
bc3,29,2,2,2002,2,0,First Burn
bc3,168,2,2,2002,2,0,First Burn
bc3,25,2,2,2002,2,0,First Burn
bc3,32,2,2,2002,2,0,First Burn
bc3,24,2,2,2002,2,0,First Burn
bc3,9,2,2,2002,2,0,First Burn
bc3,30,2,2,2002,2,0,First Burn
bc3,21,2,2,2002,2,0,First Burn
bc3,87,2,2,2002,2,0,First Burn
bc3,53,2,2,2002,2,0,First Burn
bc3,147,2,2,2002,2,0,First Burn
bc3,72,2,2,2002,2,0,First Burn
bc3,156,2,2,2002,2,0,First Burn
bc3,149,2,2,2002,2,0,First Burn
bc3,53,2,2,2002,2,0,First Burn
bc3,30,2,2,2002,2,0,First Burn
bc3,42,2,2,2002,2,0,First Burn
bc3,53,2,2,2002,2,0,First Burn
bc3,58,2,2,2002,2,0,First Burn
bc3,20,2,2,2002,2,0,First Burn
bc3,10,2,2,2002,2,0,First Burn
bc3,14,2,2,2002,2,0,First Burn
bc3,8,2,2,2002,2,0,First Burn
bc3,114,2,2,2002,2,0,First Burn
bc3,55,2,2,2002,2,0,First Burn
bc3,39,2,2,2002,2,0,First Burn
bc3,30,2,2,2002,2,0,First Burn
bc3,30,2,2,2002,2,0,First Burn
bc3,8,2,2,2002,2,0,First Burn
bc3,42,2,2,2002,2,0,First Burn
bc3,27,2,2,2002,2,0,First Burn
bc3,34,2,2,2002,2,0,First Burn
bc3,104,2,2,2002,2,0,First Burn
bc3,104,2,2,2002,2,0,First Burn
bn1,12,2,2,2002,2,0,First Burn
bn1,6,2,2,2002,2,0,First Burn
bn1,5,2,2,2002,2,0,First Burn
bn1,11,2,2,2002,2,0,First Burn
bn1,6,2,2,2002,2,0,First Burn
bn1,8,2,2,2002,2,0,First Burn
bn1,6,2,2,2002,2,0,First Burn
bn1,46,2,2,2002,2,0,First Burn
bn1,26,2,2,2002,2,0,First Burn
bn1,15,2,1,2002,2,0,First Burn
bn1,12,2,2,2002,2,0,First Burn
bn1,10,2,2,2002,2,0,First Burn
bn1,7,2,2,2002,2,0,First Burn
bn1,19,2,2,2002,2,0,First Burn
bn1,6,2,2,2002,2,0,First Burn
bn1,5,2,1,2002,2,0,First Burn
bn1,117,2,2,2002,2,0,First Burn
bn1,106,2,2,2002,2,0,First Burn
bn1,6,2,2,2002,2,0,First Burn
bn1,42,2,2,2002,2,0,First Burn
bn1,24,2,2,2002,2,0,First Burn
bn1,5,2,2,2002,2,0,First Burn
bn1,13,2,2,2002,2,0,First Burn
bn1,6,2,2,2002,2,0,First Burn
bn2,50,2,2,2002,2,0,First Burn
bn2,125,2,1,2002,2,0,First Burn
bn2,10,2,1,2002,2,0,First Burn
bn2,22,2,2,2002,2,0,First Burn
bn2,16,2,2,2002,2,0,First Burn
bn2,20,2,2,2002,2,0,First Burn
bn2,10,2,2,2002,2,0,First Burn
bn2,44,2,2,2002,2,0,First Burn
bn2,14,2,1,2002,2,0,First Burn
bn2,118,2,2,2002,2,0,First Burn
bn2,12,2,1,2002,2,0,First Burn
bn2,15,2,2,2002,2,0,First Burn
bn2,20,2,2,2002,2,0,First Burn
bn2,8,2,2,2002,2,0,First Burn
bn2,6,2,2,2002,2,0,First Burn
bn2,9,2,2,2002,2,0,First Burn
bn2,11,2,2,2002,2,0,First Burn
bn2,139,2,2,2002,2,0,First Burn
bn2,135,2,2,2002,2,0,First Burn
bn2,40,2,2,2002,2,0,First Burn
bn2,21,2,2,2002,2,0,First Burn
bn2,16,2,2,2002,2,0,First Burn
bn2,10,2,2,2002,2,0,First Burn
bn2,114,2,2,2002,2,0,First Burn
bn2,72,2,1,2002,2,0,First Burn
bn2,11,2,2,2002,2,0,First Burn
bn2,18,2,2,2002,2,0,First Burn
bn2,24,2,2,2002,2,0,First Burn
bn2,38,2,2,2002,2,0,First Burn
bn2,20,2,2,2002,2,0,First Burn
bn2,90,2,1,2002,2,0,First Burn
bn2,20,2,1,2002,2,0,First Burn
bn2,28,2,1,2002,2,0,First Burn
bn2,25,2,1,2002,2,0,First Burn
bn2,114,2,2,2002,2,0,First Burn
bn2,113,2,1,2002,2,0,First Burn
bn2,15,2,1,2002,2,0,First Burn
bn2,20,2,1,2002,2,0,First Burn
bn2,15,2,1,2002,2,0,First Burn
bn2,9,2,1,2002,2,0,First Burn
bn2,100,2,1,2002,2,0,First Burn
bn2,22,2,2,2002,2,0,First Burn
bn3,21.3,2,1,2002,2,0,First Burn
bn3,148,2,1,2002,2,0,First Burn
bn3,78,2,1,2002,2,0,First Burn
bn3,74,2,1,2002,2,0,First Burn
bn3,139,2,2,2002,2,0,First Burn
bn3,36,2,2,2002,2,0,First Burn
bn3,48,2,2,2002,2,0,First Burn
bn3,51,2,2,2002,2,0,First Burn
bn3,32,2,2,2002,2,0,First Burn
bn3,28,2,1,2002,2,0,First Burn
bn3,33,2,2,2002,2,0,First Burn
bn3,83,2,2,2002,2,0,First Burn
bn3,84,2,2,2002,2,0,First Burn
bn3,58,2,2,2002,2,0,First Burn
bn3,107,2,2,2002,2,0,First Burn
bn3,28,2,1,2002,2,0,First Burn
bn3,88,2,2,2002,2,0,First Burn
bn3,65,2,1,2002,2,0,First Burn
bn3,32,2,1,2002,2,0,First Burn
bn3,49,2,1,2002,2,0,First Burn
bn3,66,2,2,2002,2,0,First Burn
bn3,34,2,2,2002,2,0,First Burn
bn3,41,2,1,2002,2,0,First Burn
bn3,37,2,1,2002,2,0,First Burn
bn3,121,2,2,2002,2,0,First Burn
bn3,66,2,2,2002,2,0,First Burn
bn3,98,2,2,2002,2,0,First Burn
bn3,162,2,1,2002,2,0,First Burn
bn3,47,2,1,2002,2,0,First Burn
bn3,41,2,1,2002,2,0,First Burn
bn3,31,2,2,2002,2,0,First Burn
bs1,13.3,2,1,2002,2,0,First Burn
bs1,57.3,2,2,2002,2,0,First Burn
bs1,70.7,2,1,2002,2,0,First Burn
bs1,37.3,2,2,2002,2,0,First Burn
bs1,23.2,2,2,2002,2,0,First Burn
bs1,32.3,2,1,2002,2,0,First Burn
bs1,46.6,2,1,2002,2,0,First Burn
bs1,49.9,2,2,2002,2,0,First Burn
bs1,34.4,2,2,2002,2,0,First Burn
bs1,28,2,2,2002,2,0,First Burn
bs1,14.5,2,2,2002,2,0,First Burn
bs1,13.4,2,1,2002,2,0,First Burn
bs1,11,2,1,2002,2,0,First Burn
bs1,13.5,2,1,2002,2,0,First Burn
bs1,53.6,2,2,2002,2,0,First Burn
bs1,48.3,2,2,2002,2,0,First Burn
bs1,154.4,2,2,2002,2,0,First Burn
bs1,39,2,2,2002,2,0,First Burn
bs1,11.6,2,2,2002,2,0,First Burn
bs2,29.7,2,2,2002,2,0,First Burn
bs2,101.8,2,2,2002,2,0,First Burn
bs2,96.7,2,2,2002,2,0,First Burn
bs2,7,2,1,2002,2,0,First Burn
bs2,71,2,1,2002,2,0,First Burn
bs3,59,2,2,2002,2,0,First Burn
bs3,112,2,2,2002,2,0,First Burn
bs3,60,2,1,2002,2,0,First Burn
bs3,7,2,2,2002,2,0,First Burn
bs3,10,2,2,2002,2,0,First Burn
bs3,18,2,2,2002,2,0,First Burn
bs3,88,2,2,2002,2,0,First Burn
bs3,93,2,2,2002,2,0,First Burn
bs3,17,2,2,2002,2,0,First Burn
bs3,9,2,2,2002,2,0,First Burn
bs3,31,2,2,2002,2,0,First Burn
bs3,11,2,2,2002,2,0,First Burn
bs3,43,2,2,2002,2,0,First Burn
bs3,33,2,2,2002,2,0,First Burn
bs3,8,2,2,2002,2,0,First Burn
bs3,18,2,2,2002,2,0,First Burn
bs3,42,2,1,2002,2,0,First Burn
bs3,20,2,2,2002,2,0,First Burn
bs3,17,2,2,2002,2,0,First Burn
bs3,20,2,2,2002,2,0,First Burn
bc1,22.7,2,3,2002,3,0,First Burn
bc1,108,2,3,2002,3,0,First Burn
bc1,8.4,2,3,2002,3,0,First Burn
bc1,11.7,2,3,2002,3,0,First Burn
bc2,6,2,3,2002,3,0,First Burn
bc2,91,2,3,2002,3,0,First Burn
bc2,12,2,3,2002,3,0,First Burn
bc2,7,2,3,2002,3,0,First Burn
bc2,9,2,3,2002,3,0,First Burn
bc2,5,2,3,2002,3,0,First Burn
bc2,140,2,3,2002,3,0,First Burn
bc2,8,2,3,2002,3,0,First Burn
bc2,10,2,3,2002,3,0,First Burn
