"Treatment","year","fuel_type","carbon","Standard.Deviation"
"us","2019","Dead",45.9384301433333,3.94190720489511
"bc","2004","FWD",4.51463383566667,1.73104603183296
"bn","2004","FWD",3.83887202433333,1.09840033862275
"bs","2004","FWD",3.697469312,0.867781676540457
"uc","2004","FWD",6.86508148333333,1.3643366179429
"un","2004","FWD",3.90693109766667,0.619244959458936
"us","2004","FWD",6.91724455,0.248473788867039
"bc","2011","FWD",3.32668404133333,0.0881420331704545
"bn","2011","FWD",3.063463695,0.315675144789221
"bs","2011","FWD",2.436467739,0.412516488748954
"uc","2011","FWD",4.91866815433333,0.467267150786358
"un","2011","FWD",3.66372829066667,0.708063647731642
"us","2011","FWD",4.33903280033333,0.475960127828009
"bc","2017","FWD",3.193851801,0.658260542436346
"bn","2017","FWD",3.535690723,1.21597942316259
"bs","2017","FWD",2.65179051433333,0.733431190309752
"uc","2017","FWD",5.01603034733333,0.750456395324576
"un","2017","FWD",3.503525772,0.485677094969378
"us","2017","FWD",4.08099629966667,0.581531671378963
"bc","2018","FWD",2.461462845,0.860143687473517
"bn","2018","FWD",2.96733803033333,0.149242256402304
"bs","2018","FWD",2.465380006,0.741463643412097
"uc","2018","FWD",4.15801810833333,0.559086690658447
"un","2018","FWD",3.99491061066667,1.07146681294473
"us","2018","FWD",4.39802981366667,0.866375983603072
"bc","2019","FWD",4.09476952266667,3.35766840779595
"bn","2019","FWD",3.361810449,0.224077740216154
"bs","2019","FWD",2.95225418666667,1.81357813652545
"uc","2019","FWD",5.75330178533333,0.34663600141999
"un","2019","FWD",4.61778190966667,0.630888668019109
"us","2019","FWD",5.15054559166667,0.433522173253048
"bc","2004","Litter",0.748872462666667,0.155085652196556
"bn","2004","Litter",0.794187422666667,0.0160923940499916
"bs","2004","Litter",0.303204107,0.073626726371805
"uc","2004","Litter",1.26657450533333,0.692332792022586
"un","2004","Litter",1.36924566433333,0.474579475045339
"us","2004","Litter",1.580252353,0.22192174609264
"bc","2011","Litter",1.64001323766667,0.891585190849524
"bn","2011","Litter",1.732240344,0.569751101727873
"bs","2011","Litter",1.028463153,0.32747581243611
"uc","2011","Litter",2.112204383,0.437451984723752
"un","2011","Litter",1.84172226633333,0.521791362112955
"us","2011","Litter",1.44392153566667,0.282211674930171
"bc","2017","Litter",2.01124915933333,0.306363547474939
"bn","2017","Litter",2.131697178,0.369675008689136
"bs","2017","Litter",1.164621783,0.153628088260671
"uc","2017","Litter",1.85443398533333,0.29342878042269
"un","2017","Litter",2.07066749633333,0.621444193365448
