Plot,DBH_11,DC_2011,DBH_17,Status_2017,DC_2017,sizeclass,Died,Treatment,ddd,fell,Carbon,carbon_mg_ha
bc2,19.9,0,21.4,2,1,1,Drought,bc,1,0,0.080308055,0.020077014
bc2,8.7,0,8.3,2,1,1,Drought,bc,1,0,0.010386711,0.002596678
bc2,25.2,0,20.3,2,4,2,Drought,bc,1,0,0.205041279,0.05126032
bc2,33.6,0,32,2,2,2,Drought,bc,1,0,0.2939006,0.07347515
bc2,104.9,0,107.5,2,1,6,Drought,bc,1,0,4.943974261,1.235993565
bc2,100.3,0,95.2,2,1,6,Drought,bc,1,0,2.632186857,0.658046714
bc2,126.3,0,122,2,2,6,Drought,bc,1,0,4.42960892,1.10740223
bc2,17.9,0,18.6,2,2,1,Drought,bc,1,0,0.053920055,0.013480014
bc2,9.5,0,10.8,2,3,1,Drought,bc,1,0,0.012964275,0.003241069
bc2,,0,111.2,2,1,,Drought,bc,1,0,,
bc2,5.4,0,6.7,2,1,1,Drought,bc,1,0,0.00320857,0.000802142
bc2,24.8,0,29.1,2,2,2,Drought,bc,1,0,0.138506664,0.034626666
bc2,,0,6.4,2,1,,Drought,bc,1,0,,
bc2,7.2,0,9,2,2,1,Drought,bc,1,0,0.006513545,0.001628386
bc2,5.4,0,5.1,2,1,1,Drought,bc,1,0,0.00320857,0.000802142
bc2,,0,8.3,2,1,,Drought,bc,1,0,,
bc2,,0,6.2,2,1,,Drought,bc,1,0,,
bc2,23,0,32.7,2,1,2,Drought,bc,1,0,0.114929233,0.028732308
bc2,,0,8.1,2,1,,Drought,bc,1,0,,
bc2,,0,39.5,2,4,,Drought,bc,1,0,,
bc2,,0,5,2,1,,Drought,bc,1,0,,
bc2,6.2,0,7,2,1,1,Drought,bc,1,0,0.004506957,0.001126739
bc2,5.2,0,6.5,2,1,1,Drought,bc,1,0,0.002924375,0.000731094
bc2,6.3,0,7.2,2,1,1,Drought,bc,1,0,0.004687996,0.001171999
bc2,11,0,14.6,2,1,1,Drought,bc,1,0,0.01853536,0.00463384
bc2,,0,8,2,1,,Drought,bc,1,0,,
bc2,,0,7,2,1,,Drought,bc,1,0,,
