Plot,year,fuel_type,biomass,carbon,Treatment
uc3,2018,CWD,71.64423053,35.82211527,uc
un1,2018,CWD,18.76533692,9.38266846,un
un2,2018,CWD,40.31045453,20.15522727,un
un3,2018,CWD,109.7749363,54.88746815,un
us1,2018,CWD,38.83398813,19.41699407,us
us2,2018,CWD,96.57346156,48.28673078,us
us3,2018,CWD,43.83063852,21.91531926,us
bc1,2018,FWD,6.888716793,3.444358397,bc
bc2,2018,FWD,4.187290433,2.093645217,bc
bc3,2018,FWD,3.692769842,1.846384921,bc
bn1,2018,FWD,5.591966102,2.795983051,bn
bn2,2018,FWD,6.074322719,3.03716136,bn
bn3,2018,FWD,6.13773936,3.06886968,bn
bs1,2018,FWD,5.522799583,2.761399792,bs
bs2,2018,FWD,6.026210742,3.013105371,bs
bs3,2018,FWD,3.243269709,1.621634855,bs
uc1,2018,FWD,9.375505589,4.687752795,uc
uc2,2018,FWD,8.425406526,4.212703263,uc
uc3,2018,FWD,7.147196533,3.573598267,uc
un1,2018,FWD,5.991243441,2.995621721,un
un2,2018,FWD,7.725611131,3.862805566,un
un3,2018,FWD,10.25260909,5.126304545,un
us1,2018,FWD,7.304766525,3.652383263,us
us2,2018,FWD,8.386516563,4.193258282,us
us3,2018,FWD,10.69689579,5.348447896,us
bc1,2018,Litter,3.953601235,1.462832457,bc
bc2,2018,Litter,1.98859537,0.735780287,bc
bc3,2018,Litter,0.882247531,0.326431586,bc
bn1,2018,Litter,2.479257099,0.917325127,bn
bn2,2018,Litter,0.820914815,0.303738482,bn
bn3,2018,Litter,2.854330247,1.056102191,bn
bs1,2018,Litter,2.991149383,1.106725272,bs
bs2,2018,Litter,3.304889815,1.222809232,bs
bs3,2018,Litter,1.000195062,0.370072173,bs
uc1,2018,Litter,2.892073457,1.070067179,uc
uc2,2018,Litter,4.095138272,1.515201161,uc
uc3,2018,Litter,3.852166358,1.425301552,uc
un1,2018,Litter,5.899735493,2.182902132,un
un2,2018,Litter,2.481616049,0.918197938,un
un3,2018,Litter,3.809251603,1.409423093,un
us1,2018,Litter,3.486529012,1.290015734,us
us2,2018,Litter,3.378017284,1.249866395,us
us3,2018,Litter,3.727141975,1.379042531,us
bc1,2018,Dead,185.0757382,92.53786909,bc
bc2,2018,Dead,87.89140608,43.94570304,bc
bc3,2018,Dead,112.7888046,56.39440231,bc
bn1,2018,Dead,206.076684,103.038342,bn
bn2,2018,Dead,273.757759,136.8788795,bn
bn3,2018,Dead,195.5980017,97.79900085,bn
bs1,2018,Dead,89.55197282,44.77598641,bs
bs2,2018,Dead,99.20049216,49.60024608,bs
bs3,2018,Dead,64.35152326,32.17576163,bs
uc1,2018,Dead,213.5008892,106.7504446,uc
uc2,2018,Dead,166.9359872,83.46799362,uc
uc3,2018,Dead,279.7321336,139.8660668,uc
un1,2018,Dead,206.3177274,103.1588637,un
un2,2018,Dead,197.1433566,98.5716783,un
un3,2018,Dead,258.057993,129.0289965,un
us1,2018,Dead,82.87954784,41.43977392,us
us2,2018,Dead,97.57585238,48.78792619,us
us3,2018,Dead,95.17518064,47.58759032,us
bc1,2018,Live,189.0543797,94.52718983,bc
bc2,2018,Live,207.6333374,103.8166687,bc
bc3,2018,Live,232.176739,116.0883695,bc
bn1,2018,Live,312.5650776,156.2825388,bn
bn2,2018,Live,278.816301,139.4081505,bn
bn3,2018,Live,349.1157532,174.5578766,bn
bs1,2018,Live,52.5348914,26.2674457,bs
bs2,2018,Live,128.2598063,64.12990317,bs
bs3,2018,Live,100.0583861,50.02919306,bs
uc1,2018,Live,418.5767566,209.2883783,uc
uc2,2018,Live,294.6006148,147.3003074,uc
uc3,2018,Live,233.8320124,116.9160062,uc
un1,2018,Live,460.4111526,230.2055763,un
un2,2018,Live,296.483028,148.241514,un
un3,2018,Live,416.0222632,208.0111316,un
us1,2018,Live,168.1291161,84.06455807,us
us2,2018,Live,238.8233052,119.4116526,us
us3,2018,Live,205.1694068,102.5847034,us
bc1,2019,CWD,33.41515617,16.70757809,bc
bc2,2019,CWD,14.59863685,7.299318425,bc
bc3,2019,CWD,15.23268805,7.616344025,bc
bn1,2019,CWD,13.44803843,6.724019215,bn
bn2,2019,CWD,20.60585022,10.30292511,bn
bn3,2019,CWD,28.70446163,14.35223082,bn
bs1,2019,CWD,41.35437235,20.67718618,bs
bs2,2019,CWD,62.46809584,31.23404792,bs
bs3,2019,CWD,26.1390153,13.06950765,bs
uc1,2019,CWD,78.74699599,39.373498,uc
uc2,2019,CWD,50.84229637,25.42114819,uc
uc3,2019,CWD,66.97619969,33.48809985,uc
un1,2019,CWD,16.2570373,8.12851865,un
un2,2019,CWD,30.64055254,15.32027627,un
un3,2019,CWD,107.8809214,53.9404607,un
us1,2019,CWD,30.44610967,15.22305484,us
us2,2019,CWD,103.2707613,51.63538065,us
us3,2019,CWD,49.14898353,24.57449177,us
bc1,2019,FWD,15.94212216,7.971061078,bc
bc2,2019,FWD,4.175989043,2.087994522,bc
bc3,2019,FWD,4.450505936,2.225252968,bc
bn1,2019,FWD,7.24107696,3.62053848,bn
bn2,2019,FWD,6.469662831,3.234831416,bn
bn3,2019,FWD,6.460122902,3.230061451,bn
bs1,2019,FWD,5.501939058,2.750969529,bs
bs2,2019,FWD,9.716155351,4.858077676,bs
bs3,2019,FWD,2.49543071,1.247715355,bs
uc1,2019,FWD,10.7339158,5.366957902,uc
uc2,2019,FWD,12.07416909,6.037084545,uc
uc3,2019,FWD,11.71172582,5.855862909,uc
un1,2019,FWD,7.779555684,3.889777842,un
un2,2019,FWD,10.00952741,5.004763707,un
un3,2019,FWD,9.917608359,4.95880418,un
us1,2019,FWD,9.300821861,4.650410931,us
us2,2019,FWD,10.83812926,5.419064632,us
us3,2019,FWD,10.76432242,5.382161212,us
bc1,2019,Litter,7.175927778,2.655093278,bc
bc2,2019,Litter,3.241198148,1.199243315,bc
bc3,2019,Litter,2.328284259,0.861465176,bc
bn1,2019,Litter,4.540979938,1.680162577,bn
bn2,2019,Litter,2.670332099,0.988022877,bn
bn3,2019,Litter,5.008052161,1.8529793,bn
bs1,2019,Litter,4.137599383,1.530911772,bs
bs2,2019,Litter,5.012770062,1.854724923,bs
bs3,2019,Litter,1.542753704,0.57081887,bs
uc1,2019,Litter,4.614107407,1.707219741,uc
uc2,2019,Litter,8.539401235,3.159578457,uc
uc3,2019,Litter,8.581862345,3.175289068,uc
un1,2019,Litter,7.057980247,2.611452691,un
un2,2019,Litter,6.428140432,2.37841196,un
un3,2019,Litter,8.056995834,2.981088459,un
us1,2019,Litter,5.536457099,2.048489127,us
us2,2019,Litter,7.197158333,2.662948583,us
us3,2019,Litter,9.754260803,3.609076497,us
bc1,2019,Dead,186.1424387,93.07121937,bc
bc2,2019,Dead,93.61257488,46.80628744,bc
bc3,2019,Dead,130.9560204,65.47801019,bc
bn1,2019,Dead,229.3164052,114.6582026,bn
bn2,2019,Dead,276.58213,138.291065,bn
bn3,2019,Dead,203.6479758,101.8239879,bn
bs1,2019,Dead,69.60805896,34.80402948,bs
bs2,2019,Dead,104.1200716,52.06003581,bs
bs3,2019,Dead,65.81954714,32.90977357,bs
uc1,2019,Dead,213.5008892,106.7504446,uc
uc2,2019,Dead,166.9359872,83.46799362,uc
uc3,2019,Dead,279.7321336,139.8660668,uc
un1,2019,Dead,206.3177274,103.1588637,un
un2,2019,Dead,197.1433566,98.5716783,un
un3,2019,Dead,258.057993,129.0289965,un
us1,2019,Dead,82.87954784,41.43977392,us
us2,2019,Dead,97.57585238,48.78792619,us
us3,2019,Dead,95.17518064,47.58759032,us
bc1,2019,Live,177.9757881,88.98789406,bc
bc2,2019,Live,202.902934,101.451467,bc
bc3,2019,Live,206.752251,103.3761255,bc
bn1,2019,Live,281.8752062,140.9376031,bn
bn2,2019,Live,266.2386996,133.1193498,bn
bn3,2019,Live,338.05004,169.02502,bn
bs1,2019,Live,52.33318482,26.16659241,bs
bs2,2019,Live,121.6711054,60.83555271,bs
bs3,2019,Live,95.39965796,47.69982898,bs
uc1,2019,Live,418.5767566,209.2883783,uc
uc2,2019,Live,294.6006148,147.3003074,uc
uc3,2019,Live,233.8320124,116.9160062,uc
un1,2019,Live,460.4111526,230.2055763,un
un2,2019,Live,296.483028,148.241514,un
un3,2019,Live,416.0222632,208.0111316,un
us1,2019,Live,168.1291161,84.06455807,us
us2,2019,Live,238.8233052,119.4116526,us
us3,2019,Live,205.1694068,102.5847034,us
bc1,2004,CWD,14.104426,7.052213,bc
bc2,2004,CWD,25.44208,12.72104,bc
bc3,2004,CWD,14.284506,7.142253,bc
bn1,2004,CWD,15.795274,7.897637,bn
bn2,2004,CWD,19.886236,9.943118,bn
bn3,2004,CWD,20.8528,10.4264,bn
bs1,2004,CWD,10.2597,5.12985,bs
bs2,2004,CWD,30.0953,15.04765,bs
bs3,2004,CWD,9.875094,4.937547,bs
uc1,2004,CWD,49.3998,24.6999,uc
uc2,2004,CWD,29.9068,14.9534,uc
uc3,2004,CWD,42.46632,21.23316,uc
un1,2004,CWD,51.3398,25.6699,un
un2,2004,CWD,40.68052,20.34026,un
un3,2004,CWD,73.34542,36.67271,un
us1,2004,CWD,31.64104,15.82052,us
us2,2004,CWD,42.97658,21.48829,us
us3,2004,CWD,30.9587,15.47935,us
bc1,2004,FWD,12.98164203,6.490821015,bc
bc2,2004,FWD,7.572824808,3.786412404,bc
bc3,2004,FWD,6.533336176,3.266668088,bc
bn1,2004,FWD,9.471610074,4.735805037,bn
bn2,2004,FWD,5.22759929,2.613799645,bn
bn3,2004,FWD,8.334022782,4.167011391,bn
bs1,2004,FWD,5.4037198,2.7018599,bs
bs2,2004,FWD,8.194420912,4.097210456,bs
bs3,2004,FWD,8.58667516,4.29333758,bs
uc1,2004,FWD,12.26847931,6.134239655,uc
uc2,2004,FWD,12.04371948,6.02185974,uc
uc3,2004,FWD,16.87829011,8.439145055,uc
un1,2004,FWD,9.10892615,4.554463075,un
un2,2004,FWD,6.64100718,3.32050359,un
un3,2004,FWD,7.691653256,3.845826628,un
us1,2004,FWD,13.57454088,6.78727044,us
us2,2004,FWD,13.52143151,6.760715755,us
us3,2004,FWD,14.40749491,7.203747455,us
bc1,2004,Litter,2.420283332,0.895504833,bc
bc2,2004,Litter,1.585214814,0.586529481,bc
bc3,2004,Litter,2.066440741,0.764583074,bc
bn1,2004,Litter,2.193824073,0.811714907,bn
bn2,2004,Litter,2.108324149,0.780079935,bn
bn3,2004,Litter,2.137209259,0.790767426,bn
bs1,2004,Litter,0.594455557,0.219948556,bs
bs2,2004,Litter,0.972272789,0.359740932,bs
bs3,2004,Litter,0.891683332,0.329922833,bs
uc1,2004,Litter,5.038718519,1.864325852,uc
uc2,2004,Litter,1.372909259,0.507976426,uc
uc3,2004,Litter,3.857895238,1.427421238,uc
un1,2004,Litter,4.515031481,1.670561648,un
un2,2004,Litter,2.222131481,0.822188648,un
un3,2004,Litter,4.364828911,1.614986697,un
us1,2004,Litter,3.637501851,1.345875685,us
us2,2004,Litter,4.345187038,1.607719204,us
us3,2004,Litter,4.830168027,1.78716217,us
